Quals 1,4574,2193,3881,589,3749,2102
Quals 2,3849,4984,2543,3952,1572,5285
Quals 3,5025,987,2839,4019,4486,4616
Quals 4,2339,2658,3315,3128,3009,4919
Quals 5,4792,2827,3011,1622,3491,4139
Quals 6,1538,3704,4738,5209,3255,3476
Quals 7,3965,4078,5199,4014,3341,3250
Quals 8,3021,1972,3967,2485,3328,568
Quals 9,3041,1482,4583,1266,5137,330
Quals 10,4160,3647,812,2984,604,2029
Quals 11,589,2658,1572,3749,3476,987
Quals 12,4984,2102,2193,3250,1538,2543
Quals 13,3849,4616,4139,3021,3315,4574
Quals 14,4792,3128,330,3965,2839,568
Quals 15,3041,4486,3009,5209,4014,4160
Quals 16,4738,1622,3647,2485,5137,3952
Quals 17,1266,3704,2029,4919,3341,4019
Quals 18,1972,5285,2984,2339,4078,3011
Quals 19,4583,3328,3967,3491,604,3881
Quals 20,5199,3255,812,2827,1482,5025
Quals 21,4014,2839,1622,1572,987,3849
Quals 22,4139,2029,2485,2658,4486,3965
Quals 23,4616,2543,3749,568,1972,3704
Quals 24,4984,3967,5137,2984,3341,4574
Quals 25,4738,3952,5209,3011,589,4583
Quals 26,4019,5199,1482,3647,5285,2193
Quals 27,3255,5025,3021,3491,2102,4078
Quals 28,3315,812,330,2339,1266,3328
Quals 29,3041,4160,3476,3881,3250,3128
Quals 30,604,4919,4792,2827,1538,3009
Quals 31,3704,4984,2485,5199,4583,5209
Quals 32,1482,3341,5285,2102,1622,568
Quals 33,5137,3315,1572,3255,330,2029
Quals 34,4019,812,1972,589,3965,3128
Quals 35,2827,3250,3041,2658,3967,2839
Quals 36,987,3328,4078,3952,4160,1538
Quals 37,2543,3476,3009,3881,5025,3011
Quals 38,1266,3647,3491,4616,2339,4574
Quals 39,4014,3749,4919,4139,4792,3021
Quals 40,2193,4486,2984,4738,3849,604
Quals 41,987,330,589,3967,1622,5285
Quals 42,2102,3952,3041,2029,3009,4019
Quals 43,2658,3704,5137,1538,4078,812
Quals 44,5025,5209,4574,4792,2339,1572
Quals 45,4583,3250,2839,3647,3749,3011
Quals 46,3341,3021,2485,2984,4160,2827
Quals 47,3328,3965,4616,4919,3476,2193
Quals 48,3881,1266,3255,604,4984,4486
Quals 49,568,2543,3315,3491,4014,5199
Quals 50,3128,1972,3849,4139,4738,1482
Quals 51,812,3021,3009,4583,3647,1572
Quals 52,3011,1622,4160,3967,3704,2102
Quals 53,3965,2485,604,5285,3041,4616
Quals 54,4078,589,3255,4919,2339,5199
Quals 55,2827,4574,3749,4486,4738,330
Quals 56,5209,3328,5137,2543,3128,4014
Quals 57,3250,2029,4792,1482,987,1266
Quals 58,3315,1538,3341,2839,3881,1972
Quals 59,2658,568,5025,2193,3952,3849
Quals 60,3491,4019,3476,4984,4139,2984
Quals 61,604,3009,589,330,2543,3704
Quals 62,2827,3965,5209,987,2102,5137
Quals 63,1572,4919,4486,1482,3011,3250
Quals 64,5285,4738,3255,3328,3041,2658
Quals 65,4019,2339,3881,4616,3021,4583
Quals 66,2839,4078,4139,2485,812,2193
Quals 67,1538,5199,3849,3967,3749,4160
Quals 68,3341,4984,1972,3315,4792,3647
Quals 69,568,3128,2984,1622,5025,1266
Quals 70,2029,3491,4574,3952,4014,3476
Quals 71,5137,3881,5285,1572,2193,3704
Quals 72,4160,2839,4019,2543,2658,5209
Quals 73,3967,4738,2485,3315,2102,4919
Quals 74,2339,4984,3647,1622,3328,2827
Quals 75,4616,3952,330,4139,3341,3255
Quals 76,1538,3128,5025,3021,3011,2029
Quals 77,987,4574,812,3041,5199,1972
Quals 78,4486,4078,4583,568,4792,3476
Quals 79,3849,589,4014,604,3250,1266
Quals 80,3491,2984,3749,3009,3965,1482
Quals 81,2839,4616,1572,4738,2029,3328
Quals 82,2193,5025,330,3315,4984,4160
Quals 83,2658,3255,4583,1972,1622,4574
Quals 84,3011,604,3476,568,3341,2339
Quals 85,4792,3965,4019,3967,3849,3881
Quals 86,3647,2984,4919,2543,3041,987
Quals 87,589,3491,1482,4014,2485,1538
Quals 88,3250,5285,2102,812,4139,5209
Quals 89,3704,5199,3952,3021,4486,3128
Quals 90,1266,3749,3009,4078,5137,2827
Quals 91,4738,2339,3041,4792,2543,4160
Quals 92,4019,604,5025,4574,2485,4919
Quals 93,3011,4014,4984,812,4616,2658
Quals 94,4139,568,1572,2984,1538,589
Quals 95,5199,2102,3009,3328,3849,2839
Quals 96,4486,3250,5137,1972,330,3491
Quals 97,3476,3967,1266,3021,5285,3749
Quals 98,3647,3952,2827,3704,3315,3965
Quals 99,2193,3341,4583,3128,3255,987
Quals 100,1482,2029,1622,4078,3881,5209
Quals 101,2102,2658,3011,604,330,5199
Quals 102,589,4792,3328,2984,5137,4616
Quals 103,3749,3704,3250,5025,2485,2339
Quals 104,987,568,3021,4984,4738,3009
Quals 105,1538,1622,4486,3041,3315,4019
Quals 106,4919,3849,5209,812,3341,3491
Quals 107,4139,3881,3476,3255,3647,2839
Quals 108,4574,2543,3967,1482,3128,4078
Quals 109,2193,2029,4014,5285,4583,2827
Quals 110,1572,4160,1266,3965,1972,3952
